Decade,UN_Geosheme_Subregion,Disaster_Type,RCP,Financial_Impact,Human_Impact,DO
2000,Southern Asia,Floods,,20655972,21882,245
2000,Southern Asia,Storms,,4564656000,20865718,86
2000,Southern Europe,Droughts,,1966136,62575,5
2000,Southern Europe,Floods,,11187140,187,75
2000,Southern Europe,Storms,,3254000000,534550,23
2000,Western Africa,Droughts,,0,16955558,13
2000,Western Africa,Floods,,203401,1155,105
2000,Western Africa,Storms,,0,19025,11
2000,Western Asia,Droughts,,400000,2443000,6
2000,Western Asia,Floods,,2290456,838,54
2000,Western Asia,Storms,,3963750000,23360,19
2000,Western Europe,Floods,,20412350,96,39
2000,Western Europe,Storms,,18666050000,4450,52
2010,Australia and New Zealand,Droughts,,2023000,0,2
2010,Australia and New Zealand,Floods,,10825400,50,17
2010,Australia and New Zealand,Storms,,13940100000,120938,16
2010,Caribbean,Droughts,,86000,4791545,9
2010,Caribbean,Floods,,165302,299,45
2010,Caribbean,Storms,,94626452000,14161987,69
2010,Central America,Droughts,,553669,8469805,16
2010,Central America,Floods,,1106313,714,70
2010,Central America,Storms,,17845005000,2330935,63
2010,Central Asia,Floods,,313636,162,21
2010,Central Asia,Storms,,0,0,1
2010,Eastern Africa,Droughts,,1900000,74208179,27
2010,Eastern Africa,Floods,,1065100,2833,130
2010,Eastern Africa,Storms,,2749800000,7289581,49
2010,Eastern Asia,Droughts,,11636000,110826000,11
2010,Eastern Asia,Floods,,141815435,7640,127
2010,Eastern Asia,Storms,,130030384000,76541176,191
2010,Eastern Europe,Droughts,,4230000,5800,5
2010,Eastern Europe,Floods,,8483655,424,59
2010,Eastern Europe,Storms,,841100000,173197,16
2010,Melanesia,Droughts,,60000,2587000,3
2010,Melanesia,Floods,,142000,71,11
2010,Melanesia,Storms,,1161227000,1089100,20
2010,Micronesia,Droughts,,4900,127384,3
2010,Micronesia,Floods,,0,0,2
2010,Micronesia,Storms,,11000000,46850,8
2010,Middle Africa,Droughts,,0,6752700,5
2010,Middle Africa,Floods,,29000,966,54
2010,Middle Africa,Storms,,0,18869,8
2010,Northern Africa,Droughts,,0,7600000,3
2010,Northern Africa,Floods,,858100,909,39
2010,Northern Africa,Storms,,425000000,149600,7
2010,Northern America,Droughts,,37700000,0,7
2010,Northern America,Floods,,49431000,283,47
2010,Northern America,Storms,,415132000000,87934658,155
