,UN_Geosheme_Subregion,Decade,RCP,DO,°C,Disaster_Type,Human_Impact,Financial_Impact
192,Eastern Europe,2020,2.6,14,9,Storms,15862,9856000
193,Eastern Europe,2020,4.5,12,9,Storms,13596,8448000
194,Eastern Europe,2020,6.0,15,9,Storms,16995,10560000
195,Eastern Europe,2020,8.5,12,9,Storms,13596,8448000
196,Eastern Europe,2030,2.6,12,9,Storms,13596,8448000
197,Eastern Europe,2030,4.5,11,10,Storms,12463,7744000
198,Eastern Europe,2030,6.0,12,9,Storms,13596,8448000
199,Eastern Europe,2030,8.5,11,10,Storms,12463,7744000
200,Eastern Europe,2040,2.6,11,9,Storms,12463,7744000
201,Eastern Europe,2040,4.5,11,10,Storms,12463,7744000
202,Eastern Europe,2040,6.0,12,10,Storms,13596,8448000
203,Eastern Europe,2040,8.5,14,10,Storms,15862,9856000
204,Eastern Europe,2050,2.6,11,9,Storms,12463,7744000
205,Eastern Europe,2050,4.5,9,10,Storms,10197,6336000
206,Eastern Europe,2050,6.0,10,10,Storms,11330,7040000
207,Eastern Europe,2050,8.5,13,11,Storms,14729,9152000
208,Eastern Europe,2060,2.6,12,9,Storms,13596,8448000
209,Eastern Europe,2060,4.5,8,10,Storms,9064,5632000
210,Eastern Europe,2060,6.0,9,10,Storms,10197,6336000
211,Eastern Europe,2060,8.5,8,12,Storms,9064,5632000
212,Eastern Europe,2070,2.6,11,9,Storms,12463,7744000
213,Eastern Europe,2070,4.5,11,10,Storms,12463,7744000
214,Eastern Europe,2070,6.0,14,11,Storms,15862,9856000
215,Eastern Europe,2070,8.5,8,12,Storms,9064,5632000
216,Eastern Europe,2080,2.6,11,9,Storms,12463,7744000
217,Eastern Europe,2080,4.5,13,10,Storms,14729,9152000
218,Eastern Europe,2080,6.0,11,11,Storms,12463,7744000
219,Eastern Europe,2080,8.5,15,13,Storms,16995,10560000
220,Eastern Europe,2090,2.6,11,9,Storms,12463,7744000
221,Eastern Europe,2090,4.5,13,10,Storms,14729,9152000
222,Eastern Europe,2090,6.0,11,11,Storms,12463,7744000
223,Eastern Europe,2090,8.5,15,13,Storms,16995,10560000
224,Melanesia,2020,2.6,14,26,Storms,5208,5768000
225,Melanesia,2020,4.5,12,26,Storms,4464,4944000
226,Melanesia,2020,6.0,14,26,Storms,5208,5768000
227,Melanesia,2020,8.5,14,26,Storms,5208,5768000
228,Melanesia,2030,2.6,13,26,Storms,4836,5356000
229,Melanesia,2030,4.5,14,26,Storms,5208,5768000
230,Melanesia,2030,6.0,12,26,Storms,4464,4944000
231,Melanesia,2030,8.5,13,26,Storms,4836,5356000
232,Melanesia,2040,2.6,13,26,Storms,4836,5356000
233,Melanesia,2040,4.5,13,26,Storms,4836,5356000
234,Melanesia,2040,6.0,14,26,Storms,5208,5768000
235,Melanesia,2040,8.5,14,27,Storms,5208,5768000
236,Melanesia,2050,2.6,13,26,Storms,4836,5356000
237,Melanesia,2050,4.5,16,26,Storms,5952,6592000
238,Melanesia,2050,6.0,16,26,Storms,5952,6592000
239,Melanesia,2050,8.5,17,27,Storms,6324,7004000
240,Melanesia,2060,2.6,12,26,Storms,4464,4944000
241,Melanesia,2060,4.5,15,27,Storms,5580,6180000
242,Melanesia,2060,6.0,14,27,Storms,5208,5768000
243,Melanesia,2060,8.5,15,27,Storms,5580,6180000
244,Melanesia,2070,2.6,12,26,Storms,4464,4944000
245,Melanesia,2070,4.5,15,27,Storms,5580,6180000
246,Melanesia,2070,6.0,14,27,Storms,5208,5768000
247,Melanesia,2070,8.5,11,28,Storms,4092,4532000
248,Melanesia,2080,2.6,12,26,Storms,4464,4944000
249,Melanesia,2080,4.5,13,27,Storms,4836,5356000
250,Melanesia,2080,6.0,15,27,Storms,5580,6180000
251,Melanesia,2080,8.5,11,28,Storms,4092,4532000
252,Melanesia,2090,2.6,12,26,Storms,4464,4944000
253,Melanesia,2090,4.5,13,27,Storms,4836,5356000
254,Melanesia,2090,6.0,15,27,Storms,5580,6180000
255,Melanesia,2090,8.5,11,28,Storms,4092,4532000
256,Micronesia,2020,2.6,0,27,Storms,0,0
257,Micronesia,2020,4.5,0,27,Storms,0,0
258,Micronesia,2020,6.0,0,27,Storms,0,0
259,Micronesia,2020,8.5,0,27,Storms,0,0
260,Micronesia,2030,2.6,0,27,Storms,0,0
261,Micronesia,2030,4.5,1,27,Storms,214,3561000
262,Micronesia,2030,6.0,0,27,Storms,0,0
263,Micronesia,2030,8.5,2,28,Storms,428,7122000
264,Micronesia,2040,2.6,1,27,Storms,214,3561000
265,Micronesia,2040,4.5,2,28,Storms,428,7122000
266,Micronesia,2040,6.0,1,28,Storms,214,3561000
267,Micronesia,2040,8.5,0,28,Storms,0,0
268,Micronesia,2050,2.6,1,27,Storms,214,3561000
269,Micronesia,2050,4.5,1,28,Storms,214,3561000
270,Micronesia,2050,6.0,2,28,Storms,428,7122000
271,Micronesia,2050,8.5,1,28,Storms,214,3561000
272,Micronesia,2060,2.6,1,27,Storms,214,3561000
273,Micronesia,2060,4.5,0,28,Storms,0,0
274,Micronesia,2060,6.0,0,28,Storms,0,0
275,Micronesia,2060,8.5,0,29,Storms,0,0
276,Micronesia,2070,2.6,1,27,Storms,214,3561000
277,Micronesia,2070,4.5,0,28,Storms,0,0
278,Micronesia,2070,6.0,0,28,Storms,0,0
279,Micronesia,2070,8.5,0,29,Storms,0,0
280,Micronesia,2080,2.6,1,27,Storms,214,3561000
281,Micronesia,2080,4.5,0,28,Storms,0,0
282,Micronesia,2080,6.0,1,28,Storms,214,3561000
283,Micronesia,2080,8.5,0,30,Storms,0,0
284,Micronesia,2090,2.6,1,27,Storms,214,3561000
285,Micronesia,2090,4.5,0,28,Storms,0,0
286,Micronesia,2090,6.0,1,28,Storms,214,3561000
287,Micronesia,2090,8.5,0,30,Storms,0,0
288,Middle Africa,2020,2.6,6,25,Storms,2730,36000
289,Middle Africa,2020,4.5,7,25,Storms,3185,42000
290,Middle Africa,2020,6.0,6,25,Storms,2730,36000
291,Middle Africa,2020,8.5,10,25,Storms,4550,60000
292,Middle Africa,2030,2.6,10,25,Storms,4550,60000
293,Middle Africa,2030,4.5,9,25,Storms,4095,54000
294,Middle Africa,2030,6.0,9,25,Storms,4095,54000
295,Middle Africa,2030,8.5,7,26,Storms,3185,42000
296,Middle Africa,2040,2.6,9,25,Storms,4095,54000
297,Middle Africa,2040,4.5,7,26,Storms,3185,42000
298,Middle Africa,2040,6.0,11,25,Storms,5005,66000
299,Middle Africa,2040,8.5,9,26,Storms,4095,54000
300,Middle Africa,2050,2.6,9,25,Storms,4095,54000
301,Middle Africa,2050,4.5,9,26,Storms,4095,54000
302,Middle Africa,2050,6.0,6,26,Storms,2730,36000
303,Middle Africa,2050,8.5,17,27,Storms,7735,102000
304,Middle Africa,2060,2.6,9,25,Storms,4095,54000
305,Middle Africa,2060,4.5,11,26,Storms,5005,66000
306,Middle Africa,2060,6.0,13,26,Storms,5915,78000
307,Middle Africa,2060,8.5,7,27,Storms,3185,42000
308,Middle Africa,2070,2.6,9,25,Storms,4095,54000
309,Middle Africa,2070,4.5,11,26,Storms,5005,66000
310,Middle Africa,2070,6.0,12,26,Storms,5460,72000
311,Middle Africa,2070,8.5,5,28,Storms,2275,30000
312,Middle Africa,2080,2.6,9,25,Storms,4095,54000
313,Middle Africa,2080,4.5,10,26,Storms,4550,60000
314,Middle Africa,2080,6.0,14,27,Storms,6370,84000
315,Middle Africa,2080,8.5,3,28,Storms,1365,18000
316,Middle Africa,2090,2.6,9,25,Storms,4095,54000
317,Middle Africa,2090,4.5,10,26,Storms,4550,60000
318,Middle Africa,2090,6.0,14,27,Storms,6370,84000
319,Middle Africa,2090,8.5,3,28,Storms,1365,18000
320,Northern Africa,2020,2.6,8,23,Storms,15528,37864000
321,Northern Africa,2020,4.5,7,23,Storms,13587,33131000
322,Northern Africa,2020,6.0,8,22,Storms,15528,37864000
323,Northern Africa,2020,8.5,12,23,Storms,23292,56796000
324,Northern Africa,2030,2.6,11,23,Storms,21351,52063000
325,Northern Africa,2030,4.5,12,23,Storms,23292,56796000
326,Northern Africa,2030,6.0,10,23,Storms,19410,47330000
327,Northern Africa,2030,8.5,9,23,Storms,17469,42597000
328,Northern Africa,2040,2.6,11,23,Storms,21351,52063000
329,Northern Africa,2040,4.5,10,23,Storms,19410,47330000
330,Northern Africa,2040,6.0,11,23,Storms,21351,52063000
331,Northern Africa,2040,8.5,10,24,Storms,19410,47330000
332,Northern Africa,2050,2.6,11,23,Storms,21351,52063000
333,Northern Africa,2050,4.5,7,23,Storms,13587,33131000
334,Northern Africa,2050,6.0,8,23,Storms,15528,37864000
335,Northern Africa,2050,8.5,14,25,Storms,27174,66262000
336,Northern Africa,2060,2.6,10,23,Storms,19410,47330000
