Decade,UN_Geosheme_Subregion,RCP,°C,Rain
2080,Central Asia,4.5,11.0,
2080,Central Asia,6.0,12.0,
2080,Central Asia,8.5,14.0,
2080,Eastern Africa,2.6,24.0,
2080,Eastern Africa,4.5,25.0,
2080,Eastern Africa,6.0,25.0,
2080,Eastern Africa,8.5,27.0,
2080,Eastern Asia,2.6,14.0,
2080,Eastern Asia,4.5,14.0,
2080,Eastern Asia,6.0,15.0,
2080,Eastern Asia,8.5,16.0,
2080,Eastern Europe,2.6,9.0,
2080,Eastern Europe,4.5,10.0,
2080,Eastern Europe,6.0,11.0,
2080,Eastern Europe,8.5,13.0,
2080,Melanesia,2.6,26.0,
2080,Melanesia,4.5,27.0,
2080,Melanesia,6.0,27.0,
2080,Melanesia,8.5,28.0,
2080,Micronesia,2.6,27.0,
2080,Micronesia,4.5,28.0,
2080,Micronesia,6.0,28.0,
2080,Micronesia,8.5,30.0,
2080,Middle Africa,2.6,25.0,
2080,Middle Africa,4.5,26.0,
2080,Middle Africa,6.0,27.0,
2080,Middle Africa,8.5,28.0,
2080,Northern Africa,2.6,23.0,
2080,Northern Africa,4.5,24.0,
2080,Northern Africa,6.0,24.0,
2080,Northern Africa,8.5,26.0,
2080,Northern America,2.6,3.0,
2080,Northern America,4.5,4.0,
2080,Northern America,6.0,5.0,
2080,Northern America,8.5,7.0,
2080,Northern Europe,2.6,5.0,
2080,Northern Europe,4.5,6.0,
2080,Northern Europe,6.0,7.0,
2080,Northern Europe,8.5,8.0,
2080,Polynesia,2.6,27.0,
2080,Polynesia,4.5,28.0,
2080,Polynesia,6.0,28.0,
2080,Polynesia,8.5,29.0,
2080,South America,2.6,23.0,
2080,South America,4.5,23.0,
2080,South America,6.0,24.0,
2080,South America,8.5,25.0,
2080,South-Eastern Asia,2.6,25.0,
2080,South-Eastern Asia,4.5,26.0,
2080,South-Eastern Asia,6.0,27.0,
2080,South-Eastern Asia,8.5,28.0,
2080,Southern Africa,2.6,19.0,
2080,Southern Africa,4.5,20.0,
2080,Southern Africa,6.0,21.0,
2080,Southern Africa,8.5,23.0,
2080,Southern Asia,2.6,23.0,
2080,Southern Asia,4.5,23.0,
2080,Southern Asia,6.0,23.0,
2080,Southern Asia,8.5,25.0,
2080,Southern Europe,2.6,15.0,
2080,Southern Europe,4.5,16.0,
2080,Southern Europe,6.0,16.0,
2080,Southern Europe,8.5,18.0,
2080,Western Africa,2.6,27.0,
2080,Western Africa,4.5,28.0,
2080,Western Africa,6.0,29.0,
2080,Western Africa,8.5,30.0,
2080,Western Asia,2.6,21.0,
2080,Western Asia,4.5,22.0,
2080,Western Asia,6.0,22.0,
2080,Western Asia,8.5,24.0,
2080,Western Europe,2.6,10.0,
2080,Western Europe,4.5,11.0,
2080,Western Europe,6.0,12.0,
2080,Western Europe,8.5,13.0,
2090,Australia and New Zealand,2.6,18.0,
2090,Australia and New Zealand,4.5,18.0,
2090,Australia and New Zealand,6.0,19.0,
2090,Australia and New Zealand,8.5,20.0,
2090,Caribbean,2.6,26.0,
2090,Caribbean,4.5,27.0,
2090,Caribbean,6.0,27.0,
2090,Caribbean,8.5,28.0,
2090,Central America,2.6,26.0,
2090,Central America,4.5,26.0,
2090,Central America,6.0,27.0,
2090,Central America,8.5,28.0,
2090,Central Asia,2.6,10.0,
2090,Central Asia,4.5,11.0,
2090,Central Asia,6.0,12.0,
2090,Central Asia,8.5,14.0,
2090,Eastern Africa,2.6,24.0,
2090,Eastern Africa,4.5,25.0,
2090,Eastern Africa,6.0,25.0,
2090,Eastern Africa,8.5,27.0,
2090,Eastern Asia,2.6,14.0,
2090,Eastern Asia,4.5,14.0,
2090,Eastern Asia,6.0,15.0,
2090,Eastern Asia,8.5,16.0,
2090,Eastern Europe,2.6,9.0,
2090,Eastern Europe,4.5,10.0,
2090,Eastern Europe,6.0,11.0,
2090,Eastern Europe,8.5,13.0,
2090,Melanesia,2.6,26.0,
2090,Melanesia,4.5,27.0,
2090,Melanesia,6.0,27.0,
2090,Melanesia,8.5,28.0,
2090,Micronesia,2.6,27.0,
2090,Micronesia,4.5,28.0,
2090,Micronesia,6.0,28.0,
2090,Micronesia,8.5,30.0,
2090,Middle Africa,2.6,25.0,
2090,Middle Africa,4.5,26.0,
2090,Middle Africa,6.0,27.0,
2090,Middle Africa,8.5,28.0,
2090,Northern Africa,2.6,23.0,
2090,Northern Africa,4.5,24.0,
2090,Northern Africa,6.0,24.0,
2090,Northern Africa,8.5,26.0,
2090,Northern America,2.6,3.0,
2090,Northern America,4.5,4.0,
2090,Northern America,6.0,5.0,
2090,Northern America,8.5,7.0,
2090,Northern Europe,2.6,5.0,
2090,Northern Europe,4.5,6.0,
2090,Northern Europe,6.0,7.0,
2090,Northern Europe,8.5,8.0,
2090,Polynesia,2.6,27.0,
2090,Polynesia,4.5,28.0,
2090,Polynesia,6.0,28.0,
2090,Polynesia,8.5,29.0,
2090,South America,2.6,23.0,
2090,South America,4.5,23.0,
2090,South America,6.0,24.0,
2090,South America,8.5,25.0,
2090,South-Eastern Asia,2.6,25.0,
2090,South-Eastern Asia,4.5,26.0,
2090,South-Eastern Asia,6.0,27.0,
2090,South-Eastern Asia,8.5,28.0,
2090,Southern Africa,2.6,19.0,
2090,Southern Africa,4.5,20.0,
2090,Southern Africa,6.0,21.0,
2090,Southern Africa,8.5,23.0,
2090,Southern Asia,2.6,23.0,
2090,Southern Asia,4.5,23.0,
2090,Southern Asia,6.0,23.0,
2090,Southern Asia,8.5,25.0,
2090,Southern Europe,2.6,15.0,
2090,Southern Europe,4.5,16.0,
2090,Southern Europe,6.0,16.0,
2090,Southern Europe,8.5,18.0,
2090,Western Africa,2.6,27.0,
2090,Western Africa,4.5,28.0,
2090,Western Africa,6.0,29.0,
2090,Western Africa,8.5,30.0,
2090,Western Asia,2.6,21.0,
2090,Western Asia,4.5,22.0,
2090,Western Asia,6.0,22.0,
2090,Western Asia,8.5,24.0,
2090,Western Europe,2.6,10.0,
2090,Western Europe,4.5,11.0,
2090,Western Europe,6.0,12.0,
2090,Western Europe,8.5,13.0,
